지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),문화체육업종명
서울특별시 중구 신당동 52-46,,현대헬스,201566.851816484    ,451111.306977671    ,체력단련장업
서울특별시 중구 장충동1가 31-5,,골드짐,200526.453205298    ,451061.489091589    ,체력단련장업
서울특별시 중구 태평로1가 61-1 코리아나호텔 4층,"서울특별시 중구 세종대로 135, 4층 (태평로1가, 코리아나호텔)",코리아나,197867.156641113    ,451779.880897566    ,체력단련장업
서울특별시 중구 무교동 19 대한체육회 체육회관,"서울특별시 중구 무교로 16, 대한체육회 체육회관 (무교동)",짐구공 헬스 PT 골프 광화문점,198123.904576393    ,451671.110698942    ,체력단련장업
서울특별시 중구 회현동1가 181-6,,한신헬스클럽,198099.980632873    ,450699.941748513    ,체력단련장업
서울특별시 중구 중림동 398-1,,2002헬스타운,196655.581895878    ,450746.19907568     ,체력단련장업
서울특별시 중구 인현동1가 102-5,,벗 명보헬스클럽,199345.537896557    ,451328.888559506    ,체력단련장업
서울특별시 중구 흥인동 13-1,,뉴)월드스포랜드,201442.039019479    ,451619.845549151    ,체력단련장업
서울특별시 중구 회현동1가 202-0 제일빌딩5층 622호,,국제프레야스포츠,                    ,                    ,체력단련장업
서울특별시 중구 충무로2가 50-6,,라이온스헬스클럽,199023.967503662    ,451105.474557896    ,체력단련장업
서울특별시 중구 명동2가 31-1,,엠.티.엠 휘트니스클럽,198619.38819773     ,451135.740279961    ,체력단련장업
서울특별시 중구 장충동2가 200-102,,장충휘트니스클럽,200532.882476516    ,450653.684499881    ,체력단련장업
서울특별시 중구 황학동 73-1,,라이프 헬스 클럽,201637.855135326    ,451945.75542127     ,체력단련장업
서울특별시 중구 서소문동 58-9,,중앙신협휘트니스클럽,197511.245797769    ,451114.28520546     ,체력단련장업
서울특별시 중구 충무로1가 23-10,,트레져어셋리미티드,198567.716675244    ,451040.498321504    ,체력단련장업
서울특별시 중구 신당동 844 남산타운,"서울특별시 중구 다산로 32, 스포츠센터동 2층 204호 (신당동, 남산타운)",알티오 휘트니스,200750.455125653    ,449638.824308081    ,체력단련장업
서울특별시 중구 을지로4가 310-68 삼풍빌딩 13층,,드림스포츠,199540.014446067    ,451538.669466551    ,체력단련장업
서울특별시 중구 을지로3가 315-4,,골드스포츠,199207.538777842    ,451529.342819592    ,체력단련장업
서울특별시 중구 남대문로5가 36-1,,남문헬스클럽,197692.601616889    ,450709.793991215    ,체력단련장업
서울특별시 중구 주교동 135-5,,동남헬스클럽,199729.851187123    ,451802.546064979    ,체력단련장업
서울특별시 성동구 옥수동 262-1,"서울특별시 성동구 독서당로 202, B103호 (옥수동)",shut up and squat,201110.397044663    ,448968.795348812    ,체력단련장업
서울특별시 성동구 하왕십리동 1070 센트라스,"서울특별시 성동구 왕십리로 410, i동 101,102,103호 (하왕십리동, 센트라스)",더 프라임 PT&헬스 신당점,202372.912023599    ,451536.680876573    ,체력단련장업
서울특별시 성동구 도선동 289,"서울특별시 성동구 왕십리로 348, 5층 (도선동)",모티브짐,202727.017018553    ,451267.516899022    ,체력단련장업
서울특별시 성동구 하왕십리동 966-68,"서울특별시 성동구 왕십리로 339-1, 3층 (하왕십리동)",브라보 PT,202756.732460612    ,451193.426474206    ,체력단련장업
서울특별시 성동구 성수동2가 317-4 청운재,"서울특별시 성동구 연무장11길 15, 청운재 지하1층 (성수동2가)",(주)더에이치에스,204993.190198642    ,449015.529617758    ,체력단련장업
서울특별시 성동구 옥수동 323-17 조을빌딩,"서울특별시 성동구 독서당로 226, 조을빌딩 2층 (옥수동)",뭉트니스 PT & 헬스,201326.843664417    ,449086.230738437    ,체력단련장업
서울특별시 성동구 성수동1가 13-441,"서울특별시 성동구 상원길 64, 2층 (성수동1가)",모스트짐,204173.590200483    ,449726.476712051    ,체력단련장업
